dbn,school_name,boro,phone_number,school_email,grade_span_min,grade_span_max,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,school_type,overview_paragraph,program_highlights,language_classes,extracurricular_activities,addtl_info1,addtl_info2,start_time,end_time,ell_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
12X550,High School of World Cultures,Bronx,7188608120,,9,12,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44",6 to Elder Ave,1300 BOYNTON AVENUE, BRONX,NY,10472,www.highschoolofworldcultures.org,410,School for New Arrivals,"Our motto is _Children First _ No Excuses _ High Standards._ High School of World Cultures HSWC places a strong emphasis on an enhanced standardized and interdisciplinary curriculum. It focuses on fostering high level communication skills iacross the content areas. The instructional program enriches students_ life skills by building on their rich identities and cultural beliefs and preparing them to be successful and fluent in English. Students gain an appreciation for the diversity and similarities of globalization by acquiring innovative, challenging, ageappropriate academic skills, and knowledge that will prepare a bilingual citizen for college and life. Our mission is to create lifelong learners who possess the confidence and knowledge to meet the challenges of our changing society. In addition, ESL courses are offered to parents of HSWC students.","AfterSchool programs, College Now","French, Spanish",Latin and African Dance,iLearnNYC Program for expanded online coursework and selfpaced learning,"Uniform Required HSWC uniform shirt, black slacksskirt no shorter than 2 inches above the knee, black shoes or boots during inclement weather Extended Day offered Weekend program offered",80000.0,40000.0,"ESL, Dual Language Spanish",Eligibility Open only to New York City residents who have lived in the United States one year or less at the time of admission to high school and require an ELL program,,,,,,,,,
04M372,ESPERANZA PREPARATORY ACADEMY,Manhattan,2127226507,wmerced2schools.nyc.gov,6,12,"M1, M101, M102, M106, M116, M15, M15SBS, M2, M3, M98",6 to 110th St,240 EAST 109 STREET, MANHATTAN,NY,10029,httpschools.nyc.govSchoolPortals04M372,507,,"Esperanza Preparatory Academy EPA is a duallanguage college preparation school. Students master Spanish as a native or second language, as well as academic, social, and communication skills. We offer students Spanish courses with the goal that they will be able to take college and Advanced Placement AP courses in Spanish Literature, and become proficient in both Spanish and English. We prepare students for college by providing them with internship opportunities and a mentor that will expose them to college lifeacademics. Students work collaboratively with their mentors to arrange college tours and develop college portfolios, and have the opportunity to take college courses.",Dual Language program Career and college counseling and advisory CUNY College Now courses,Spanish,"Art, Community Service, Dance, Music, Student Government, Theater, Electronic Music Production, Technology, Soccer, Basketball, Pencil Project",iLearnNYC Program for expanded online coursework and selfpaced learning,Uniform Required Summer School Orientation Required Community Service Requirement 50 hours per Semester Internship Opportunities,80000.0,30000.0,"ESL, Dual Language Spanish",Eligibility Open only to heritage Spanish speakers and students who attended Transitional Bilingual Education or Dual Language middle school programs,Priority to continuing 8th graders,Then to Manhattan students or residents,Then to New York City residents,,,,,,
28Q284,York Early College Academy,Queens,7182628547,28Q284schools.nyc.gov,6,12,"Q111, Q112, Q114, Q42, Q5, Q60",,10835 167 STREET, QUEENS,NY,11433,httpschools.nyc.govSchoolPortals28Q284,611,,"The mission of York Early College Academy is to develop the skills needed for success in college and careers. College preparation is continually communicated to our students. This goal is expressed by teachers, parents, and the surrounding, supportive community. In addition to a challenging advanced academic curriculum, we are pleased to offer students the opportunity to graduate from our school with approximately 4060 college credits. Our students have the full support of York College, the Early College Initiative, and the Department of Education. York Early College Academy is an open road to college.",Early College,Spanish,"Chess, Art, Culture, Dance, Debate Team, Drama, Journalism, Math, Peer Tutors, Student Government",,"Dress Code Required white polo shirt, blue jeans",80000.0,22000.0,ESL,Priority to continuing 8th graders,Then to Queens students or residents,Then to New York City residents,,,,,,,
27Q351,Rockaway Collegiate High School,Queens,7187343290,nfennelschools.nyc.gov,9,12,"Q22, Q52, Q53, QM17","A, S to Beach 98th StPlayland",10000 BEACH CHANNEL DRIVE, QUEENS,NY,11694,httpschools.nyc.govSchoolPortals27Q351,397,,"Rockaway Collegiate High School RCHS provides an enriched college preparatory program. We offer a collaborative educational experience in which talented students are challenged to expand their intellect and develop the habits of inquiry, expression, critical thinking, problem solving, research, and presentation. We ensure this with the development of consistent structures, additional time and support when needed. Personalization is valued at RCHS where each student is known well by at least one adult through an individualized student success plan which outlines the steps each student needs to take, informed by precise data, to be academically successful. Every student is expected to complete portfolios and pass Regents exams.","Academic Program College Preparatory Classes, Early College Access _ CUNY College Now Program through Kingsborough Community College and York College, Job TrainingCertification  COOP Tech Program, STEM Program  Project Lead the Way, Sign Language, Career and Financial Management, Career Readiness, Saturday School, PM School, Regents Prep Courses, Dance, Drama, Music, Chorus, Art, Weight Club, Advisory Program, Mentoring","French, Spanish","Chess, STEM Club, Drama, Internships, Music, Chorus, National Honor Society, Percussion, StepDance Team, Student Government, Visual Arts",Academic Portfolio required Community Service Requirement Extended Day Program iLearnNYC Program for expanded online coursework and selfpaced learning,"Community School Offers personalized learning opportunities during and after school, social services, and family engagement programs. Partner organization Partnership with Children Uniform Required RCHS uniform shirt, black or khaki pants uniform shirt should be purchased at Lands End Summer Success Academy 3 weeks Internship Opportunities Community Service Opportunities",80000.0,30000.0,ESL,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
27Q262,Channel View School for Research,Queens,7186341970,Dharper22schools.nyc.gov,6,12,"Q22, Q52, Q53, QM17","A, S to Beach 98th StPlayland",10000 BEACH CHANNEL DRIVE, QUEENS,NY,11694,www.cvsr.info,683,,"As an Expeditionary Learning school, our approach to curriculum connects learning to realworld issues. Our Learning Expeditions and field visits get students out of the classroom and into the practice of investigating solutions to realworld problems. Our Expeditionary Learning emphasis invests students in their community, teaches them the value of leadership and service, and establishes a solid academic base from which students can launch careers in fields such as science, government, medicine, law, and education. Character development is the pillar of our foundation students_ habits of work and learning are _Service,_ _Trust,_, _Accountability,_ and _Respect_ STAR.","College Preparation that includes Advanced Placement AP Classes, CUNY College Now, Kaplan SAT Prep, ACT Prep, Prelaw, Forensics, Environmental Science Fine Arts Program Visual Arts ThreeYear Sequence, Vocal and Instrumental Music, Jazz and Steel Band Web Design  Development, Film and Mass Media, Spanish Cultural Dance, Community Service, Crew Advisory, Student LedConferences, Gallery, Monthly presentations of learning and crew award assemblies",Spanish,"Art and Design, Chess, Chorus, Computer, International Youth Leadership Institute, Jazz Band, Marching Band, Media, National Honor Society, Nature Photography, NYC Outward Bound, Peace, Recycling, Steel Drum Band, Step, Student Government Organization",iLearnNYC Program for expanded online coursework and selfpaced learning,"Dress Code Required light blue or white collared shirt, Channel View logo shirt, navy blue or khaki pantsskirtskortBermuda length shorts, darkcolored dress shoeswalking shoesboots Summer Orientation overnight crew program for all 9th graders 45 days Community Service Opportunities",81500.0,30400.0,ESL,Priority to continuing 8th graders,Then to District 27 students or residents who attend an information session,Then to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to District 27 students or residents,Then to Queens students or residents,Then to New York City residents,,,
27Q324,Rockaway Park High School for Environmental Sustainability,Queens,7187343280,Ddefreitas2schools.nyc.gov,9,12,"Q22, Q52, Q53, QM17","A, S to Beach 98th StPlayland",10000 BEACH CHANNEL DRIVE, QUEENS,NY,11694,www.RockawayParkHS.com,368,,The mission of Rockaway Park High School is to prepare students for college and careers through a curriculum centered on environmental sustainability. We believe learning is most dynamic when students are given handson experiences through an interdisciplinary curriculum that reaches a wide range of learning styles. Rockaway Park High School is a highly personalized environment in which each student is known well by the school community. Students graduate with the critical thinking skills necessary to pursue their scholarly passions and interests after high school.,Learning Voyages indepth investigations of themes or topics crossing multiple academic subjects through authentic projects andor field work Collaboration with community partners to develop leadership Extra tutoring for students before and after school Specialized carpentry program that includes building boats and other exciting projects Kaplan SAT prep classes and a fouryear sequence of college trips provided.,Spanish,"AfterSchool and Saturday classes provide extra support and preparation for the NYS Regents Exams AP Preparation, Accelerated Classes, Art, Dance, Fitness, Green Team, Nova Net online classes, Student Government, Mentoring, Theatre, Yearbook",,"Dress Code Required Boys  solid gray, pink or hunter green polo shirtsweater vest and a white buttondown shirt, khaki or gray dress pants, solid black sneakers. Girls  solid gray, pink or hunter green polo shirt, sweater vest, or sweater and a white buttondown blouse, khaki or gray dress pantskneelength skirt, solid black sneakers. Uniforms can be purchased at Ideal Department Store in Brooklyn or Elmont Community Service Required Internship Opportunities Summer Bridges Program",84500.0,33000.0,ESL,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
03M485,Fiorello H. LaGuardia High School of Music  Art and Performing Arts,Manhattan,2124960700,admissionslaguardiahs.net,9,12,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X14, X30","A, B, C, D to 59th StColumbus Circle  2, 3 to 72nd St  1 to 66th St  Lincoln Center",100 AMSTERDAM AVENUE, MANHATTAN,NY,10023,www.laguardiahs.org,2635,Specialized High School,"We enjoy an international reputation as the first and foremost high school dedicated to nurturing students gifted in the arts. Our mission is to provide an opportunity for students to pursue both a rigorous conservatorystyle training and a challenging academic program. Our building features worldclass facilities including a concert hall art, dance, music, recording and theater studios, science and computer labs, and an art gallery. Almost all of our graduates continue their studies, gaining admission to highly selective schools. Our graduates have distinguished themselves in virtually every field, including the arts and sciences, medicine, law, business, education, and public service.","Students have a daily program that includes both a multiperiod conservatory studio block and a full college preparatory academic course load. Each studio has a fouryear sequence of courses and opportunities for students to participate in performances and exhibitions. Students completing the applicable NYC Studio Comprehensive exam receive a special endorsement on their diploma. Honors courses are offered in all academic areas starting in the freshman year, leading to a full complement of Advanced Placement AP courses.","French, Italian, Japanese, Spanish","Amnesty International, Anime, Annual Musical, Arista, Art Exhibits, ASPIRA, Black Student Union, Chinese Student Association, Claymazing, Comic Book, Cult Classics, Dance Programs, DaVinci Scholars Program, Debate Team, Disney VoluntEars, Drama Festivals, Environmental, Fashion, Film, Future Voters of America, GayStraight Alliance, Girls Learn International, Habitat for Humanity, Harry Potter, Independent Film, Jewish Union, Literary Magazine, Math Team, Mock Trial, Moot Court, Murals, National Honor Society, National Language Honors Society, Newspaper, Orchestral and Vocal Concerts, Random Acts of Kindness, Red Cross, Relay For Life, School Leadership Team SLT, Science Outreach League, Shamisen, Social Action, Splashes of Hope, Student Government Organization, Ukulele For Good, Yearbook",,,80000.0,40000.0,ESL,Open to New York City residents,Admission is based on the outcome of a competitive audition and review of the student_s record. Students must audition for each program studio to which they are applying. Students must speak to their guidance counselors to register for the auditions,,,,,,,,
31R064,Gaynor McCown Expeditionary Learning School,Staten Island,7183706950,tfreyschools.nyc.gov,9,12,"S44, S55, S61, S79SBS, S89, X17",,100 ESSEX DRIVE, STATEN ISLAND,NY,10314,www.gaynormccownels.org,479,,"Our school provides a small, academically challenging learning community that prepares students for college success and beyond. Our community is supported by problemsolving strategies to develop our students_ character and respect for excellence in scholarship and to energize their creativity. It_s all about attitude _ wanting to excel, striving to meet potential, overcoming challenges and looking to make a difference.","Expeditionary Learning Indepth investigations of academic curricula that incorporate realworld connections, projectbased learning, and character development, utilizing outside experts Crew Advisory group of 1215 students who work with one staff member to receive guidance, develop leadership, support academics, and build character",Spanish,"Cheerleading, Chess, Close Up, Club 360, Culinary, Debate Team, GayStraight Alliance GSA, Guitar, International, Key Club, KnittingCrocheting, Martial Arts, Music, Peer Mediators, School Newspaper, SING, Sci FiHorror, Student Government, Theatre Arts",,Uniform Required school polo shirt black or tan dress pants StudentParent Orientation Studentled Conferences held twice a year,80000.0,22000.0,ESL,Priority to Staten Island students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Staten Island students or residents,Then to New York City residents,,,,,,
31R047,CSI High School for International Studies,Staten Island,7183706900,31r047schools.nyc.gov,9,12,"S44, S55, S61, S79SBS, S89, X17",,100 ESSEX DRIVE, STATEN ISLAND,NY,10314,www.csihighschool.org,520,,"Our challenging and academically demanding program is designed around college preparedness and aligned with Common Core Learning Standards. High standards and global themes are infused throughout content areas. Students present comprehensive portfolio and summer projects. Teachers work collaboratively to challenge students_ thinking and prepare them for college. Students have opportunities to travel and participate in foreign exchanges, fostering crosscultural learning.","Advisory for all students to enrich communication skills, social proficiency, and global awareness, College courses with CUNY College of Staten Island International Journalism, UNICEF, CUNY College Now, Global Art, Digital Photography, Dual Credit Program, CSI Tuition Waivers, Forensics, International Travel, Exchange and Language Immersion Programs, Four years of a world language expected","Chinese Mandarin, Japanese, Spanish","Book, Cheerleading, Chess, Computer  Tech, Debate, Digital Photography, Dragon Dance Team, Drama, Forensics, Guitar Ensemble, International, It Gets Better, Japanese Culture and Language, Journalism, Key Club, Literary Magazine, Model UN, National Honor Society, Peer Leaders and Tutoring, Percussion Ensemble, Photography, SAT Prep, Senior Council, Senior Instructional Leadership Core , SING, Taiko Drumming and Ukulele Ensemble, Yearbook",,"In each grade, students complete an endofyear Academic Portfolio Project and Interdisciplinary Summer Project All students must participate in all school day trips Parents and students participate in StudentLed Conferences twice a year Internship Required 120 hours Community Service Required 120 hours Summer Freshman Academy recommended Internship Opportunities",73000.0,34500.0,ESL,"Priority to Districts 20, 21 and 31 students or residents who attend an information session",Then to New York City residents who attend an information session,"Then to Districts 20, 21 and 31 students or residents",Then to New York City residents,,,,,,
02M298,Pace High School,Manhattan,2123344663,msowiskischools.nyc.gov,9,12,"B39, BxM18, M103, M14A, M15, M15SBS, M22, M5, M9, X28","B, D to Grand St  J, Z to Bowery  M to Delancey StEssex St  F to East Broadway  6, N, Q, R to Canal St",100 HESTER STREET, MANHATTAN,NY,10002,httpschools.nyc.govSchoolPortals02M298,423,,"The PACE High School creates a collegeoriented, studentcentered environment with high expectations for every student. Students create a rsum of quality educational experiences that will prepare them for success in college and beyond. Students are known well through our advisory program and are appreciated for their unique talents and contributions to our learning community. Our curriculum and practices are tailored to the individual needs of our students, enabling them to reach their ambitious goals. Working in close collaboration with Pace University, our school shares the extensive resources of the university, with access to classes, libraries, computer labs, and recreational facilities.","Advisory Program, Advanced Regents classes, Tiers of educationally enriching experiences during and after school, including Saturdays and over the summer Students who have passed five Regents exams with an 85 average by eleventh grade are eligible to take free courses at Pace University Honors classes offered in ninth and tenth grades Advanced Placement AP classes in eleventh and twelfth grades",Spanish,"Academic Tutorials, Advisory Debates, Homework Help, Amnesty International, Bridge Running, Cheerleading, Caribbean Dance, Drama, Gay Straight Alliance, HipHop, Literary Magazine, Mentorships, Choir, Latin Dance, National Honor Society, Poetry Out Loud, Science, Envirothon, Chess, Bollywood Dance, Spanish National Honor Society, Step, Student Expositions, Math Zone, Student Government, Studentdesigned Publications, Technology, AnimeVideo Game, Wellness Center, Yearbook, YMCA Youth Leadership, Dance, Martial Arts, Swimming Girls Who Code, SAT Prep, Art in NYC",,"Academic Portfolio required All incoming ninth grade students participate in our _First Summer_ program, a threeday program at the Pace University Campus, from August 1012, 2016 Pace University offers 5 full scholarships every year to graduating Seniors Senior Social Action Project, Paper and Presentation required Community Service Required 180 hours",90000.0,32000.0,ESL,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,
